planet_id,planet_name,mass,radius,density,gravity,temperature,atmospheric_pressure,discovery_method,orbit_id,star_id
1,Mercury,0.055,0.3829,0.98,0.38,340,0,,1,1
2,Venus,0.815,0.95,0.951,0.904,737,91,,2,1
3,Earth,1,1,1,1,288,1,,3,1
4,Mars,0.107,0.532,0.71,0.3794,210,0.00628,,4,1
5,Jupiter,317.8,11.19,0.227,2.528,165,-1,,5,1
6,Saturn,95.3,9.26,0.12,1.065,134,-1,,6,1
7,Uranus,14.6,4.01,0.226,0.886,76,-1,telescope,7,1
8,Neptune,17.23,3.88,0.295,1.14,72,-1,telescope,8,1
9,Proxima Centauri b,1.27,,,,234,,radial_velocity,9,4
10,Barnard's Star b,3.23,,,,105,,radial_velocity,10,5
11,Wolf 359 b,43.9,,,,50,,radial_velocity,11,9
12,Wolf 359 c,3.8,,,,500,,radial_velocity,12,9
13,Lalande 21185,2.99,,,,349.8,,radial_velocity,13,10
