star_id,star_name,spectral_type,bv_color_index,absolute_magniude,mass,radius,luminosity,temperature,age,metallicity,star_system_id
1,Sun,G2V,0.63,4.83,1,1,1,5772,4.6,0.0122,1
2,Alpha Centauri A,G2V,0.71,4.38,1.1,1.2234,1.519,5790,5.3,0.2,2
3,Alpha Centauri B,K1V,0.88,5.71,0.907,0.8632,0.5002,5260,5.3,0.23,2
4,Proxima Centauri,M5.5Ve,1.82,15.6,0.1221,0.1542,0.0017,3042,4.85,0.21,2
5,Barnard's Star,M4.0V,1.713,13.21,0.144,0.196,0.0035,3134,10,-1,3
6,Luhman 16 A,L7.5,,,0.032,0.1,0.0000219,1350,,,4
7,Luhman 16 B,T0.5,,,0.027,0.1,0.0000209,1210,,,4
8,WISE 0855-0714,Y2,,,0.005,0.1,0,240,,,5
9,Wolf 359,M6.5Ve,2.034,16.65,0.09,0.16,0.0014,2800,0.2,0.18,6
10,Lalande 21185,M2V,1.444,10.48,0.46,0.393,0.026,3828,7,-0.2,7
11,Sirius A,A1V,0,1.42,2.063,1.711,25.4,9940,0.237,0.5,8
12,Sirius B,DA2,-0.03,11.18,1.018,0.0084,0.056,25000,0.228,,8
13,Luyten 726-8 A,M5.5V,1.87,12.7,0.102,0.14,0.00006,2670,,,9
14,Luyten 726-8 B,M6V,,13.2,0.1,0.14,0.00004,2650,,,9
15,Ross 154,M3.5V,1.76,13.07,0.17,0.24,0.0038,3340,1,-0.25,10
